date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:21:15	571764/571764	---MCZ	200	added ('OK')	text/html	etag:W/%2259a2024522563ad95274cbe546d05eb6%22	https://swagloons.wixsite.com/boob	C:/My%20Web%20Sites/booba/swagloons.wixsite.com/boob.html	(from )
13:21:15	483/483	---M--	200	added ('OK')	text/plain	etag:W/%221e3-Zvhxyb0e/s0tfh8v+u1GjxNb5Ww%22	https://swagloons.wixsite.com/robots.txt		(from )
13:21:16	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/booba/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://swagloons.wixsite.com/boob)
13:21:16	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/booba/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://swagloons.wixsite.com/boob)
13:21:16	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2029%20Jun%202024%2007:51:18%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/booba/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://swagloons.wixsite.com/boob)
13:21:17	3028/3028	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Jun%202024%2007:51:19%20GMT	https://swagloons.wixsite.com/location.href	C:/My%20Web%20Sites/booba/swagloons.wixsite.com/location.4.delayed	(from https://swagloons.wixsite.com/boob)
13:21:17	3027/3027	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Jun%202024%2007:51:20%20GMT	https://swagloons.wixsite.com/	C:/My%20Web%20Sites/booba/swagloons.wixsite.com/index.html	(from https://swagloons.wixsite.com/boob)
13:21:18	6232/6232	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Jun%202024%2007:51:20%20GMT	https://static.wixstatic.com/media/077596_de37504123a74534b25dcfbbad9270ff~mv2.png/v1/fill/w_45,h_45,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/download%20(1).png	C:/My%20Web%20Sites/booba/static.wixstatic.com/media/077596_de37504123a74534b25dcfbbad9270ff_mv2.png/v1/fill/w_45,h_45,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/download%20(1).png	(from https://swagloons.wixsite.com/boob)
13:21:19	237239/237239	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Jun%202024%2007:51:20%20GMT	https://static.wixstatic.com/media/077596_7af80a8eaba2446d81d0fb9867a30e78~mv2.png/v1/fill/w_449,h_449,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/download.png	C:/My%20Web%20Sites/booba/static.wixstatic.com/media/077596_7af80a8eaba2446d81d0fb9867a30e78_mv2.png/v1/fill/w_449,h_449,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/download.png	(from https://swagloons.wixsite.com/boob)
13:21:19	177963/177963	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Jun%202024%2007:51:21%20GMT	https://static.wixstatic.com/media/077596_d48b869bbf0446aebe15cf454255b83b~mv2.png/v1/fill/w_326,h_371,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/pngwing_com.png	C:/My%20Web%20Sites/booba/static.wixstatic.com/media/077596_d48b869bbf0446aebe15cf454255b83b_mv2.png/v1/fill/w_326,h_371,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/pngwing_com.png	(from https://swagloons.wixsite.com/boob)
13:21:20	1792/1792	---M--	200	added ('OK')	image/jpeg	date:Sat,%2029%20Jun%202024%2007:51:22%20GMT	https://static.wixstatic.com/media/077596_87bbcb561f8c4ece927196ca32308d85~mv2.jpg/v1/fill/w_41,h_75,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/download%20(5)_jfif.jpg	C:/My%20Web%20Sites/booba/static.wixstatic.com/media/077596_87bbcb561f8c4ece927196ca32308d85_mv2.jpg/v1/fill/w_41,h_75,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/download%20(5)_jfif.jpg	(from https://swagloons.wixsite.com/boob)
13:21:20	1708/1708	---M--	200	added ('OK')	image/jpeg	date:Sat,%2029%20Jun%202024%2007:51:22%20GMT	https://static.wixstatic.com/media/077596_a6c4aece7af8482cbc8914d1d5897341~mv2.jpg/v1/fill/w_41,h_75,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/download%20(2)_jfif.jpg	C:/My%20Web%20Sites/booba/static.wixstatic.com/media/077596_a6c4aece7af8482cbc8914d1d5897341_mv2.jpg/v1/fill/w_41,h_75,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/download%20(2)_jfif.jpg	(from https://swagloons.wixsite.com/boob)
